iteration,player0_win,player1_win,Draw
100,2,98,0
200,1,96,3
300,7,78,15
400,5,85,10
500,6,87,7
600,13,72,15
700,13,76,11
800,6,73,21
900,6,74,20
1000,13,70,17
1100,11,73,16
1200,8,79,13
1300,10,70,20
1400,12,65,23
1500,12,69,19
1600,16,66,18
1700,13,76,11
1800,17,64,19
1900,11,72,17
2000,20,58,22
2100,12,60,28
2200,18,60,22
2300,17,64,19
2400,20,64,16
2500,26,59,15
2600,16,64,20
2700,18,60,22
2800,19,62,19
2900,18,64,18
3000,19,69,12
3100,15,70,15
3200,15,63,22
3300,16,63,21
3400,20,63,17
3500,21,62,17
3600,18,59,23
3700,22,61,17
3800,19,56,25
3900,14,58,28
4000,24,61,15
4100,13,75,12
4200,16,51,33
4300,22,52,26
4400,22,63,15
4500,31,56,13
4600,22,60,18
4700,19,55,26
4800,16,67,17
4900,23,54,23
5000,22,61,17
5100,24,52,24
5200,25,51,24
5300,18,66,16
5400,17,61,22
5500,14,70,16
5600,25,50,25
5700,30,50,20
5800,23,57,20
5900,27,57,16
6000,27,52,21
6100,20,58,22
6200,25,51,24
6300,25,52,23
6400,29,58,13
6500,23,52,25
6600,24,57,19
6700,34,47,19
6800,26,54,20
6900,22,62,16
7000,36,49,15
7100,23,57,20
7200,25,50,25
7300,25,69,6
7400,27,54,19
7500,27,49,24
7600,28,50,22
7700,26,52,22
7800,25,62,13
7900,30,51,19
8000,20,52,28
8100,23,62,15
8200,26,61,13
8300,15,63,22
8400,20,59,21
8500,29,50,21
8600,22,59,19
8700,22,59,19
8800,17,69,14
8900,18,64,18
9000,28,53,19
9100,30,53,17
9200,25,51,24
9300,18,67,15
9400,21,56,23
9500,18,58,24
9600,32,52,16
9700,30,58,12
9800,24,56,20
9900,21,62,17
10000,24,50,26
