iteration,player0_win,player1_win,Draw
100,98,1,1
200,92,3,5
300,85,6,9
400,83,5,12
500,86,3,11
600,79,10,11
700,65,13,22
800,69,9,22
900,60,20,20
1000,74,7,19
1100,55,21,24
1200,55,25,20
1300,60,16,24
1400,65,13,22
1500,65,18,17
1600,68,11,21
1700,70,13,17
1800,64,23,13
1900,80,10,10
2000,61,19,20
2100,65,19,16
2200,51,20,29
2300,60,19,21
2400,62,20,18
2500,55,34,11
2600,56,21,23
2700,57,16,27
2800,71,12,17
2900,57,19,24
3000,61,21,18
3100,60,27,13
3200,53,23,24
3300,58,21,21
3400,53,31,16
3500,53,28,19
3600,55,25,20
3700,61,25,14
3800,58,17,25
3900,67,21,12
4000,63,19,18
4100,51,33,16
4200,45,37,18
4300,65,24,11
4400,55,32,13
4500,60,25,15
4600,65,20,15
4700,55,18,27
4800,58,25,17
4900,56,21,23
5000,65,16,19
5100,65,24,11
5200,51,28,21
5300,46,33,21
5400,53,30,17
5500,58,29,13
5600,52,25,23
5700,52,30,18
5800,48,28,24
5900,46,38,16
6000,43,27,30
6100,53,23,24
6200,57,30,13
6300,64,26,10
6400,57,25,18
6500,55,27,18
6600,53,26,21
6700,35,39,26
6800,61,27,12
6900,51,34,15
7000,53,31,16
7100,50,30,20
7200,53,32,15
7300,59,25,16
7400,54,22,24
7500,50,28,22
7600,49,30,21
7700,36,36,28
7800,51,29,20
7900,51,30,19
8000,48,32,20
8100,50,25,25
8200,51,24,25
8300,47,30,23
8400,55,29,16
8500,55,27,18
8600,44,38,18
8700,47,19,34
8800,45,35,20
8900,56,26,18
9000,48,26,26
9100,37,37,26
9200,51,33,16
9300,44,34,22
9400,63,27,10
9500,54,21,25
9600,47,27,26
9700,46,32,22
9800,52,30,18
9900,49,30,21
10000,44,32,24
