iteration,player0_win,player1_win,Draw
50,60,38,2
100,51,47,2
150,68,31,1
200,62,37,1
250,71,28,1
300,76,23,1
350,77,22,1
400,83,16,1
450,78,22,0
500,72,28,0
550,74,26,0
600,87,12,1
650,84,14,2
700,85,15,0
750,90,8,2
800,84,16,0
850,89,11,0
900,83,17,0
950,78,22,0
1000,83,17,0
1050,89,8,3
1100,81,18,1
1150,87,13,0
1200,83,17,0
1250,85,14,1
1300,89,11,0
1350,80,19,1
1400,82,16,2
1450,92,7,1
1500,86,14,0
1550,94,6,0
1600,88,11,1
1650,91,8,1
1700,92,7,1
1750,85,14,1
1800,90,7,3
1850,90,8,2
1900,88,12,0
1950,94,5,1
2000,89,9,2
2050,95,3,2
2100,92,6,2
2150,95,4,1
2200,90,9,1
2250,92,7,1
2300,86,10,4
2350,81,16,3
2400,89,10,1
2450,88,10,2
2500,96,4,0
2550,91,8,1
2600,87,11,2
2650,88,12,0
2700,92,7,1
2750,91,9,0
2800,91,9,0
2850,88,11,1
2900,89,9,2
2950,91,8,1
3000,88,11,1
3050,88,11,1
3100,89,10,1
3150,90,10,0
3200,85,13,2
3250,93,7,0
3300,96,3,1
3350,87,13,0
3400,88,11,1
3450,88,11,1
3500,86,11,3
3550,92,7,1
3600,91,9,0
3650,94,4,2
3700,95,5,0
3750,90,9,1
3800,94,6,0
3850,96,4,0
3900,96,4,0
3950,86,11,3
4000,90,9,1
4050,92,8,0
4100,86,13,1
4150,84,14,2
4200,92,8,0
4250,89,11,0
4300,93,7,0
4350,88,11,1
4400,84,15,1
4450,89,11,0
4500,91,8,1
4550,86,14,0
4600,94,6,0
4650,91,9,0
4700,87,12,1
4750,92,8,0
4800,92,8,0
4850,93,7,0
4900,94,5,1
4950,95,5,0
5000,92,8,0
5050,88,11,1
5100,92,8,0
5150,80,20,0
5200,89,9,2
5250,94,6,0
5300,86,14,0
5350,93,7,0
5400,89,9,2
5450,92,8,0
5500,92,7,1
5550,94,6,0
5600,94,5,1
5650,88,10,2
5700,95,5,0
5750,90,10,0
5800,96,4,0
5850,87,13,0
5900,91,7,2
5950,91,9,0
6000,91,9,0
6050,94,5,1
6100,98,2,0
6150,91,9,0
6200,97,3,0
6250,94,5,1
6300,95,5,0
6350,91,8,1
6400,91,9,0
6450,87,13,0
6500,94,5,1
6550,91,9,0
6600,93,7,0
6650,97,3,0
6700,86,14,0
6750,89,11,0
6800,93,7,0
6850,92,8,0
6900,97,3,0
6950,95,5,0
7000,93,7,0
7050,94,5,1
7100,85,13,2
7150,96,4,0
7200,93,6,1
7250,95,4,1
7300,89,11,0
7350,90,9,1
7400,94,6,0
7450,92,8,0
7500,96,3,1
7550,94,6,0
7600,92,8,0
7650,94,6,0
7700,94,6,0
7750,92,8,0
7800,95,5,0
7850,92,8,0
7900,90,10,0
7950,95,5,0
8000,92,8,0
8050,95,5,0
8100,91,9,0
8150,93,7,0
8200,96,4,0
8250,87,11,2
8300,89,10,1
8350,97,3,0
8400,95,4,1
8450,96,4,0
8500,92,7,1
8550,90,8,2
8600,92,8,0
8650,89,11,0
8700,93,7,0
8750,87,13,0
8800,92,7,1
8850,95,5,0
8900,95,5,0
8950,96,4,0
9000,88,12,0
9050,92,8,0
9100,90,10,0
9150,93,6,1
9200,91,9,0
9250,85,15,0
9300,86,13,1
9350,93,7,0
9400,96,4,0
9450,92,7,1
9500,97,3,0
9550,96,4,0
9600,94,5,1
9650,89,11,0
9700,89,11,0
9750,95,5,0
9800,89,11,0
9850,94,6,0
9900,92,8,0
9950,94,6,0
10000,94,6,0
