iteration,player0_win,player1_win,Draw
50,43,55,2
100,32,67,1
150,46,54,0
200,37,63,0
250,22,75,3
300,22,76,2
350,26,69,5
400,28,71,1
450,20,77,3
500,24,76,0
550,17,82,1
600,16,84,0
650,15,85,0
700,18,79,3
750,21,76,3
800,12,86,2
850,11,88,1
900,11,88,1
950,9,90,1
1000,7,91,2
1050,8,92,0
1100,11,89,0
1150,10,90,0
1200,6,93,1
1250,10,90,0
1300,10,89,1
1350,6,93,1
1400,9,90,1
1450,14,86,0
1500,16,84,0
1550,9,91,0
1600,22,78,0
1650,13,84,3
1700,13,86,1
1750,14,86,0
1800,11,89,0
1850,10,90,0
1900,8,91,1
1950,13,85,2
2000,13,85,2
2050,11,88,1
2100,15,84,1
2150,11,88,1
2200,16,82,2
2250,12,87,1
2300,9,91,0
2350,14,84,2
2400,9,90,1
2450,10,90,0
2500,12,88,0
2550,15,85,0
2600,11,89,0
2650,13,86,1
2700,10,90,0
2750,7,93,0
2800,18,82,0
2850,8,91,1
2900,12,88,0
2950,14,86,0
3000,15,83,2
3050,8,91,1
3100,12,87,1
3150,12,88,0
3200,11,89,0
3250,14,85,1
3300,8,92,0
3350,10,90,0
3400,9,91,0
3450,13,87,0
3500,13,85,2
3550,8,91,1
3600,9,90,1
3650,9,90,1
3700,11,87,2
3750,9,90,1
3800,7,92,1
3850,20,80,0
3900,5,95,0
3950,14,86,0
4000,10,90,0
4050,14,86,0
4100,9,90,1
4150,10,90,0
4200,6,94,0
4250,4,96,0
4300,7,92,1
4350,8,91,1
4400,10,89,1
4450,7,93,0
4500,4,96,0
4550,12,88,0
4600,8,91,1
4650,9,91,0
4700,7,93,0
4750,8,92,0
4800,12,88,0
4850,3,97,0
4900,7,93,0
4950,5,95,0
5000,14,83,3
5050,8,92,0
5100,9,91,0
5150,17,83,0
5200,5,95,0
5250,5,94,1
5300,8,91,1
5350,8,92,0
5400,12,88,0
5450,2,98,0
5500,6,94,0
5550,3,97,0
5600,2,97,1
5650,8,92,0
5700,4,96,0
5750,4,95,1
5800,8,92,0
5850,5,95,0
5900,4,96,0
5950,9,91,0
6000,4,94,2
6050,8,92,0
6100,6,94,0
6150,1,99,0
6200,4,96,0
6250,15,85,0
6300,12,86,2
6350,7,93,0
6400,14,86,0
6450,10,90,0
6500,7,93,0
6550,8,92,0
6600,6,93,1
6650,9,91,0
6700,3,96,1
6750,2,98,0
6800,7,93,0
6850,8,89,3
6900,11,89,0
6950,8,92,0
7000,7,93,0
7050,7,92,1
7100,7,93,0
7150,7,91,2
7200,14,86,0
7250,4,96,0
7300,9,91,0
7350,11,88,1
7400,15,84,1
7450,12,88,0
7500,11,89,0
7550,5,95,0
7600,12,87,1
7650,10,90,0
7700,5,95,0
7750,6,94,0
7800,8,92,0
7850,8,92,0
7900,10,90,0
7950,3,96,1
8000,8,92,0
8050,3,97,0
8100,16,83,1
8150,6,94,0
8200,12,88,0
8250,7,93,0
8300,7,93,0
8350,5,95,0
8400,5,95,0
8450,8,91,1
8500,6,92,2
8550,2,97,1
8600,5,95,0
8650,5,95,0
8700,5,95,0
8750,6,94,0
8800,4,96,0
8850,8,91,1
8900,8,92,0
8950,0,100,0
9000,5,95,0
9050,6,93,1
9100,5,95,0
9150,3,97,0
9200,4,96,0
9250,6,93,1
9300,12,88,0
9350,11,89,0
9400,4,96,0
9450,7,92,1
9500,8,92,0
9550,6,93,1
9600,8,92,0
9650,8,92,0
9700,7,93,0
9750,10,90,0
9800,11,89,0
9850,9,91,0
9900,4,96,0
9950,4,96,0
10000,8,92,0
